id_transaccion,fecha_hora,id_cuenta_origen,id_cuenta_destino,tipo_transaccion,monto,estado,canal,descripcion
TRX-20231211-00026,12/11/2023 10:39,ACC-00307,,DEPOSITO,3500599.18,EXITOSA,WEB,Depósito en cuenta
TRX-20231211-00715,12/11/2023 3:09,ACC-00423,ACC-00047,TRANSFERENCIA,4260854.12,EXITOSA,WEB,Transferencia a ACC-00047
TRX-20231211-00835,12/11/2023 5:21,ACC-00500,ACC-00081,TRANSFERENCIA,476233.76,EXITOSA,APP_MOVIL,Transferencia a ACC-00081
TRX-20231211-02796,12/11/2023 10:41,ACC-00148,,RETIRO,2483754.61,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231211-04805,12/11/2023 20:26,ACC-00400,,DEPOSITO,6489714.7,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231211-05464,12/11/2023 14:27,ACC-00235,ACC-00224,TRANSFERENCIA,402761.6,EXITOSA,CAJERO,Transferencia a ACC-00224
TRX-20231211-05759,12/11/2023 9:23,ACC-00027,ACC-00347,TRANSFERENCIA,2527827.04,PENDIENTE,WEB,Transferencia a ACC-00347
TRX-20231211-07321,12/11/2023 11:08,ACC-00225,,DEPOSITO,1206475.9,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231211-08302,12/11/2023 2:14,ACC-00245,,RETIRO,1671075.52,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231211-08536,12/11/2023 19:44,ACC-00119,,DEPOSITO,1295963.46,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231211-08669,12/11/2023 8:36,ACC-00171,,DEPOSITO,9981555.83,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231211-08974,12/11/2023 2:45,ACC-00069,,DEPOSITO,2429599.36,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231212-01487,12/12/2023 12:26,ACC-00481,,DEPOSITO,4606106.76,EXITOSA,CAJERO,Depósito en cuenta
TRX-20231212-02920,12/12/2023 3:04,ACC-00059,,RETIRO,2187252.93,EXITOSA,WEB,Retiro en cajero
TRX-20231212-02942,12/12/2023 3:13,ACC-00247,,RETIRO,1048411.1,EXITOSA,WEB,Retiro en cajero
TRX-20231212-03957,12/12/2023 12:52,ACC-00032,ACC-00011,TRANSFERENCIA,107569.35,PENDIENTE,WEB,Transferencia a ACC-00011
TRX-20231212-05529,12/12/2023 1:25,ACC-00294,ACC-00382,TRANSFERENCIA,1485807.03,EXITOSA,APP_MOVIL,Transferencia a ACC-00382
